eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
50.28 \scriptsize $\pm$ 1.63,66.02 \scriptsize $\pm$ 2.08,61.51 \scriptsize $\pm$ 1.82,67.87 \scriptsize $\pm$ 1.26,56.78 \scriptsize $\pm$ 1.44,65.54 \scriptsize $\pm$ 1.98,58.03 \scriptsize $\pm$ 1.78,60.14 \scriptsize $\pm$ 1.67,65.22 \scriptsize $\pm$ 1.46,46.76 \scriptsize $\pm$ 0.72,72.21 \scriptsize $\pm$ 0.88,76.20 \scriptsize $\pm$ 1.13,62.21 \scriptsize $\pm$ 1.40,abla_most_uriel_unseen_xlmr,xquad,"[42, 66, 17, 23]","[60.308587479926565, 63.2997278687537, 62.01132705803386, 63.23118448783805]",0.8531886776280744,0.14816339273134754,0.12649696674209837
51.53 \scriptsize $\pm$ 0.90,66.21 \scriptsize $\pm$ 0.51,62.39 \scriptsize $\pm$ 0.66,68.14 \scriptsize $\pm$ 0.69,59.21 \scriptsize $\pm$ 0.78,66.88 \scriptsize $\pm$ 0.49,60.27 \scriptsize $\pm$ 0.74,61.64 \scriptsize $\pm$ 0.83,66.35 \scriptsize $\pm$ 0.43,47.37 \scriptsize $\pm$ 0.61,72.70 \scriptsize $\pm$ 0.80,76.86 \scriptsize $\pm$ 0.39,63.30 \scriptsize $\pm$ 0.26,abla_random_joshi2,xquad,"[42, 66, 17, 23]","[63.506708442096595, 62.91110365386002, 63.387952881283475, 63.37858446305912]",0.19711621042923913,0.5719236678655264,0.831106257064294
51.65 \scriptsize $\pm$ 0.93,66.94 \scriptsize $\pm$ 1.13,62.26 \scriptsize $\pm$ 1.60,68.33 \scriptsize $\pm$ 0.69,59.64 \scriptsize $\pm$ 0.97,66.34 \scriptsize $\pm$ 1.37,59.22 \scriptsize $\pm$ 1.71,61.01 \scriptsize $\pm$ 1.41,67.14 \scriptsize $\pm$ 1.66,47.87 \scriptsize $\pm$ 0.59,72.68 \scriptsize $\pm$ 1.33,76.86 \scriptsize $\pm$ 0.84,63.33 \scriptsize $\pm$ 0.96,abla_random_joshi3,xquad,"[42, 66, 17, 23]","[63.56034623431355, 62.729405570894436, 62.442806234857066, 64.57723259006632]",0.32400750127681416,0.5214786771210459,0.8593171141320741
51.69 \scriptsize $\pm$ 0.73,66.11 \scriptsize $\pm$ 1.05,61.78 \scriptsize $\pm$ 1.33,68.33 \scriptsize $\pm$ 0.93,58.70 \scriptsize $\pm$ 1.47,66.73 \scriptsize $\pm$ 1.41,59.15 \scriptsize $\pm$ 1.82,61.34 \scriptsize $\pm$ 0.67,66.60 \scriptsize $\pm$ 1.12,47.71 \scriptsize $\pm$ 1.09,73.30 \scriptsize $\pm$ 1.63,76.69 \scriptsize $\pm$ 0.56,63.18 \scriptsize $\pm$ 0.85,abla_random_joshi35,xquad,"[42, 66, 17, 23]","[63.720651041788784, 62.476997106930924, 62.429510213721386, 64.0798470761571]",0.39200326455771434,0.30758247344673645,0.9828137770999984
52.28 \scriptsize $\pm$ 1.00,66.24 \scriptsize $\pm$ 0.75,62.36 \scriptsize $\pm$ 0.90,67.91 \scriptsize $\pm$ 0.97,58.89 \scriptsize $\pm$ 1.47,66.37 \scriptsize $\pm$ 0.93,58.74 \scriptsize $\pm$ 1.40,61.52 \scriptsize $\pm$ 1.46,66.17 \scriptsize $\pm$ 1.01,47.62 \scriptsize $\pm$ 0.80,73.10 \scriptsize $\pm$ 0.30,76.52 \scriptsize $\pm$ 0.66,63.14 \scriptsize $\pm$ 0.81,abla_random_joshi45,xquad,"[42, 66, 17, 23]","[63.179469784253456, 64.24688739043269, 62.80725455888961, 62.33955436803071]",0.224595161940615,0.5248975917588702,0.9328352207574463
51.12 \scriptsize $\pm$ 0.87,65.66 \scriptsize $\pm$ 1.60,61.51 \scriptsize $\pm$ 1.81,67.94 \scriptsize $\pm$ 0.76,58.06 \scriptsize $\pm$ 0.91,65.72 \scriptsize $\pm$ 0.59,58.69 \scriptsize $\pm$ 1.91,60.53 \scriptsize $\pm$ 1.47,66.03 \scriptsize $\pm$ 1.00,47.66 \scriptsize $\pm$ 1.18,72.45 \scriptsize $\pm$ 1.59,76.25 \scriptsize $\pm$ 0.93,62.64 \scriptsize $\pm$ 1.12,abla_random_seen_mbert,xquad,"[42, 66, 17, 23]","[61.62845839713504, 62.36693807138277, 62.311179334415066, 64.23371803804002]",0.6582583703084757,0.1501069059747129,0.3595488987526896
51.04 \scriptsize $\pm$ 1.00,65.36 \scriptsize $\pm$ 0.64,60.97 \scriptsize $\pm$ 1.01,67.51 \scriptsize $\pm$ 0.54,57.72 \scriptsize $\pm$ 0.97,65.26 \scriptsize $\pm$ 1.06,57.64 \scriptsize $\pm$ 1.35,60.45 \scriptsize $\pm$ 1.00,65.36 \scriptsize $\pm$ 1.22,47.15 \scriptsize $\pm$ 0.44,71.52 \scriptsize $\pm$ 0.82,76.08 \scriptsize $\pm$ 0.35,62.17 \scriptsize $\pm$ 0.69,abla_random_seen_xlmr,xquad,"[42, 66, 17, 23]","[62.58869512534054, 61.67450392075526, 62.92085234237601, 61.50067038477891]",0.8483500316572608,0.12568489612169606,0.15842804725665327
50.53 \scriptsize $\pm$ 2.03,65.59 \scriptsize $\pm$ 1.48,61.63 \scriptsize $\pm$ 1.38,68.25 \scriptsize $\pm$ 0.95,57.86 \scriptsize $\pm$ 1.95,66.29 \scriptsize $\pm$ 0.89,57.75 \scriptsize $\pm$ 2.83,60.45 \scriptsize $\pm$ 1.42,65.69 \scriptsize $\pm$ 1.51,46.91 \scriptsize $\pm$ 1.36,72.01 \scriptsize $\pm$ 0.45,76.74 \scriptsize $\pm$ 0.63,62.48 \scriptsize $\pm$ 1.28,abla_random_unseen_mbert,xquad,"[42, 66, 17, 23]","[63.556981822673976, 63.505184939723726, 60.9354779654235, 61.90571385310741]",0.8729967983577472,0.15599711040273057,0.49057489630123646
51.41 \scriptsize $\pm$ 1.08,65.93 \scriptsize $\pm$ 0.88,61.86 \scriptsize $\pm$ 1.19,68.14 \scriptsize $\pm$ 0.75,57.85 \scriptsize $\pm$ 1.34,66.14 \scriptsize $\pm$ 0.63,58.08 \scriptsize $\pm$ 1.18,60.76 \scriptsize $\pm$ 0.65,65.72 \scriptsize $\pm$ 0.75,46.61 \scriptsize $\pm$ 1.29,72.28 \scriptsize $\pm$ 0.94,76.67 \scriptsize $\pm$ 0.39,62.62 \scriptsize $\pm$ 0.55,abla_random_unseen_xlmr,xquad,"[42, 66, 17, 23]","[62.7601792451749, 62.47868236203741, 61.96919948657342, 63.279614829549324]",0.677848504666866,0.003307883072983165,0.36117453818303547
50.95 \scriptsize $\pm$ 1.09,66.45 \scriptsize $\pm$ 1.46,62.39 \scriptsize $\pm$ 1.44,68.15 \scriptsize $\pm$ 0.72,59.17 \scriptsize $\pm$ 0.93,67.07 \scriptsize $\pm$ 0.42,59.06 \scriptsize $\pm$ 0.76,61.76 \scriptsize $\pm$ 0.81,66.40 \scriptsize $\pm$ 1.71,47.41 \scriptsize $\pm$ 0.90,72.53 \scriptsize $\pm$ 0.92,76.98 \scriptsize $\pm$ 0.37,63.19 \scriptsize $\pm$ 0.73,afri_only,xquad,"[42, 66, 17, 23]","[62.133903140678306, 63.51950876820746, 63.7615379956905, 63.35763344022336]",0.018329069463679553,0.5937638088501039,-1.0
