final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
28.85 \scriptsize $\pm$ 1.03,54.83 \scriptsize $\pm$ 0.57,41.84 \scriptsize $\pm$ 0.71,abla_random_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[42.02610412539668, 42.203513641416194, 40.79929468847036, 42.343831838148894]",0.026549084796073832,0.5753127263417303,0.012814969308903275
30.27 \scriptsize $\pm$ 0.83,56.85 \scriptsize $\pm$ 1.14,43.56 \scriptsize $\pm$ 0.97,afri_only,masakha_unseen_pos,"[42, 66, 17, 23]","[42.81174207333233, 44.172133621242786, 42.664336367946916, 44.59749323993396]",0.7986323893495845,0.0672694512158035,-1.0
21.58 \scriptsize $\pm$ 4.36,56.16 \scriptsize $\pm$ 0.71,38.87 \scriptsize $\pm$ 2.15,baseline,masakha_unseen_pos,"[42, 66, 17, 23]","[36.14098461842113, 38.42790625373476, 41.22276900969631, 39.68736777533199]",0.01927085140821256,0.02326972881005176,0.02607943016936724
26.93 \scriptsize $\pm$ 2.97,56.72 \scriptsize $\pm$ 0.86,41.82 \scriptsize $\pm$ 1.47,least_family_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[40.824533766224896, 41.02415709848198, 41.44050106338554, 43.992547155552764]",0.007494309630737072,0.4625237655230769,0.05011861361866588
28.66 \scriptsize $\pm$ 1.63,56.28 \scriptsize $\pm$ 0.58,42.47 \scriptsize $\pm$ 0.68,least_family_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[43.0248717832094, 43.08024321460702, 41.89183645169791, 41.87591332148308]",0.19569107964963559,0.3097585742596825,0.17087455557348635
23.55 \scriptsize $\pm$ 7.68,56.40 \scriptsize $\pm$ 0.63,39.97 \scriptsize $\pm$ 4.15,least_family_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[33.76698211577155, 42.56393779676331, 41.808406637894734, 41.74828739664674]",0.16121730021324165,0.5217402675887377,0.14983594155030025
17.34 \scriptsize $\pm$ 4.86,57.40 \scriptsize $\pm$ 0.46,37.37 \scriptsize $\pm$ 2.46,least_same_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[34.97959097081643, 35.533296283181414, 39.269566989659836, 39.70499653085103]",0.007739002623780307,0.00845684147337617,0.015164672291560221
29.32 \scriptsize $\pm$ 2.83,56.75 \scriptsize $\pm$ 0.93,43.04 \scriptsize $\pm$ 1.79,least_same_script_20,masakha_unseen_pos,"[42, 66, 17, 23]","[41.86877432361389, 42.165531162613256, 42.4145438154797, 45.698870624723625]",0.2453306672396732,0.10981313943788265,0.47957035983557006
20.26 \scriptsize $\pm$ 5.28,55.66 \scriptsize $\pm$ 0.51,37.96 \scriptsize $\pm$ 2.87,least_same_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[34.28216485265716, 40.445992607963234, 40.015585245734044, 37.08826305974647]",0.03725785206721253,0.09086662554941458,0.02941405012139325
21.17 \scriptsize $\pm$ 3.85,56.93 \scriptsize $\pm$ 0.50,39.05 \scriptsize $\pm$ 2.13,least_uriel_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[37.41092725612136, 38.67443374176068, 37.97289424731363, 42.15828090482871]",0.005373149356243458,0.10900704555188465,0.007982765795091704
27.27 \scriptsize $\pm$ 0.90,56.41 \scriptsize $\pm$ 0.77,41.84 \scriptsize $\pm$ 0.70,least_uriel_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[42.003616300111936, 40.809544643195856, 42.262133214225926, 42.282615840583276]",0.023770190857797985,0.33103182042766877,0.08646710739786191
30.22 \scriptsize $\pm$ 0.53,56.93 \scriptsize $\pm$ 0.73,43.58 \scriptsize $\pm$ 0.33,least_uriel_en_40,masakha_unseen_pos,"[42, 66, 17, 23]","[43.4036873105827, 43.49398175314344, 43.34338803710922, 44.06455320452032]",0.784275102943538,0.03274787918439538,0.9694242673567849
21.67 \scriptsize $\pm$ 3.71,55.84 \scriptsize $\pm$ 0.36,38.76 \scriptsize $\pm$ 1.93,least_uriel_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[36.788189667089306, 37.773613696413875, 41.240174885320194, 39.22783912043802]",0.015479721123474953,0.008952325512319951,0.024785160306992467
24.45 \scriptsize $\pm$ 0.66,56.06 \scriptsize $\pm$ 0.89,40.26 \scriptsize $\pm$ 0.29,most_distinct_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[39.91745760104265, 40.3752464245096, 40.138883195869845, 40.58986752134253]",0.002624407198306708,0.18477268399081917,0.002620368737277898
24.42 \scriptsize $\pm$ 1.91,55.42 \scriptsize $\pm$ 0.64,39.92 \scriptsize $\pm$ 0.81,most_distinct_script_18,masakha_unseen_pos,"[42, 66, 17, 23]","[38.90880869450222, 39.62571429945846, 40.539269464371294, 40.59516370935171]",0.002516936199010475,0.01986242566612175,0.00615725213945786
24.76 \scriptsize $\pm$ 1.94,55.65 \scriptsize $\pm$ 0.64,40.21 \scriptsize $\pm$ 1.04,most_distinct_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[40.35400118164511, 40.9515425405923, 38.69376776251946, 40.831192798180965]",0.008655962629798673,0.3763794145697744,0.0021781695688664186
27.88 \scriptsize $\pm$ 0.72,56.27 \scriptsize $\pm$ 0.42,42.08 \scriptsize $\pm$ 0.44,most_family_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[42.65341813360044, 41.57375731604156, 42.02304465775686, 42.05073469422909]",0.05384051878981948,0.34396482623556907,0.10118324757080949
25.29 \scriptsize $\pm$ 1.41,56.86 \scriptsize $\pm$ 0.81,41.07 \scriptsize $\pm$ 0.84,most_family_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[40.24366123097049, 40.459996234589994, 41.73969157800895, 41.852774139606545]",0.005967828965522511,0.4534284653803798,0.023136120619446972
