final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
40.97 \scriptsize $\pm$ 2.08,40.03 \scriptsize $\pm$ 0.82,42.83 \scriptsize $\pm$ 0.98,41.20 \scriptsize $\pm$ 1.83,38.97 \scriptsize $\pm$ 1.24,46.04 \scriptsize $\pm$ 1.03,41.68 \scriptsize $\pm$ 1.20,39.77 \scriptsize $\pm$ 1.11,45.03 \scriptsize $\pm$ 2.28,38.57 \scriptsize $\pm$ 1.29,41.51 \scriptsize $\pm$ 0.66,abla_random_seen_mbert,americasnli,"[42, 66, 17, 23]","[41.149949132646405, 40.80335956407692, 42.30033708679332, 41.778778024143875]",0.12182614198262258,0.9630517889769481,0.10459340907084201
41.63 \scriptsize $\pm$ 3.14,41.13 \scriptsize $\pm$ 1.31,43.37 \scriptsize $\pm$ 0.91,40.30 \scriptsize $\pm$ 1.94,39.33 \scriptsize $\pm$ 1.02,44.92 \scriptsize $\pm$ 0.79,45.02 \scriptsize $\pm$ 4.05,40.43 \scriptsize $\pm$ 1.68,43.63 \scriptsize $\pm$ 0.76,39.33 \scriptsize $\pm$ 1.78,41.91 \scriptsize $\pm$ 1.28,abla_random_seen_xlmr,americasnli,"[42, 66, 17, 23]","[41.9630598669623, 43.6467965160935, 40.628291813399414, 41.40401953538252]",0.1304905654663757,0.513741939106945,0.3817175452720243
43.40 \scriptsize $\pm$ 1.08,41.93 \scriptsize $\pm$ 1.08,44.87 \scriptsize $\pm$ 1.59,41.63 \scriptsize $\pm$ 1.93,40.67 \scriptsize $\pm$ 1.18,44.82 \scriptsize $\pm$ 1.18,45.15 \scriptsize $\pm$ 2.83,40.63 \scriptsize $\pm$ 2.24,43.10 \scriptsize $\pm$ 0.97,40.20 \scriptsize $\pm$ 1.48,42.64 \scriptsize $\pm$ 0.64,abla_random_unseen_mbert,americasnli,"[42, 66, 17, 23]","[41.68164920365781, 42.89598365288465, 43.00515948581946, 42.9788675854673]",0.8522466020574917,0.19462975793550544,0.909448539124409
43.17 \scriptsize $\pm$ 1.40,42.43 \scriptsize $\pm$ 0.51,45.60 \scriptsize $\pm$ 0.89,44.23 \scriptsize $\pm$ 0.61,40.00 \scriptsize $\pm$ 0.98,45.36 \scriptsize $\pm$ 0.84,43.28 \scriptsize $\pm$ 0.68,42.13 \scriptsize $\pm$ 2.19,43.43 \scriptsize $\pm$ 0.54,41.70 \scriptsize $\pm$ 1.67,43.13 \scriptsize $\pm$ 0.63,abla_random_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[42.7773317102155, 43.9362091503268, 43.312509311189366, 42.510415489181625]",0.20432896801105802,0.0669942008744243,0.562758110953508
42.80 \scriptsize $\pm$ 0.45,40.83 \scriptsize $\pm$ 0.60,45.27 \scriptsize $\pm$ 1.01,43.30 \scriptsize $\pm$ 0.76,40.07 \scriptsize $\pm$ 0.26,45.66 \scriptsize $\pm$ 1.09,43.52 \scriptsize $\pm$ 3.36,39.80 \scriptsize $\pm$ 1.48,44.60 \scriptsize $\pm$ 0.77,41.37 \scriptsize $\pm$ 0.90,42.72 \scriptsize $\pm$ 0.72,afri_only,americasnli,"[42, 66, 17, 23]","[43.65811602394098, 42.08198744982103, 42.233129863918954, 42.912099763778386]",0.9922372784188029,0.014805124759368385,-1.0
37.90 \scriptsize $\pm$ 0.72,39.33 \scriptsize $\pm$ 0.99,39.30 \scriptsize $\pm$ 0.71,40.07 \scriptsize $\pm$ 0.59,37.97 \scriptsize $\pm$ 0.59,43.50 \scriptsize $\pm$ 0.69,38.10 \scriptsize $\pm$ 1.05,37.73 \scriptsize $\pm$ 1.32,42.63 \scriptsize $\pm$ 1.00,35.70 \scriptsize $\pm$ 1.42,39.22 \scriptsize $\pm$ 0.47,baseline,americasnli,"[42, 66, 17, 23]","[38.86547918206455, 39.89258235149196, 39.20091503267973, 38.93337246206686]",0.00026449921316436194,0.02311891312155509,0.008504557594672923
38.93 \scriptsize $\pm$ 0.79,41.23 \scriptsize $\pm$ 1.50,42.87 \scriptsize $\pm$ 1.87,42.53 \scriptsize $\pm$ 2.09,39.00 \scriptsize $\pm$ 2.48,46.04 \scriptsize $\pm$ 1.28,42.25 \scriptsize $\pm$ 1.12,38.17 \scriptsize $\pm$ 1.18,44.93 \scriptsize $\pm$ 0.99,38.77 \scriptsize $\pm$ 1.75,41.47 \scriptsize $\pm$ 1.16,least_family_en_10,americasnli,"[42, 66, 17, 23]","[40.69654449806529, 40.9630984160109, 41.03229830587075, 43.194421981652965]",0.1682805708001408,0.9979893986091246,0.15653791881430318
39.20 \scriptsize $\pm$ 0.99,40.53 \scriptsize $\pm$ 0.95,42.63 \scriptsize $\pm$ 1.84,43.73 \scriptsize $\pm$ 1.26,39.30 \scriptsize $\pm$ 1.18,46.24 \scriptsize $\pm$ 2.13,40.57 \scriptsize $\pm$ 1.69,39.20 \scriptsize $\pm$ 0.68,44.63 \scriptsize $\pm$ 1.51,39.47 \scriptsize $\pm$ 1.05,41.55 \scriptsize $\pm$ 0.63,least_family_en_20,americasnli,"[42, 66, 17, 23]","[41.79584134023158, 41.30750170282451, 40.81611669057867, 42.286421749778995]",0.05800501237555311,0.8297580048474351,0.026817407306569823
39.27 \scriptsize $\pm$ 0.70,41.17 \scriptsize $\pm$ 1.09,42.40 \scriptsize $\pm$ 1.51,41.47 \scriptsize $\pm$ 0.39,38.63 \scriptsize $\pm$ 0.62,45.53 \scriptsize $\pm$ 1.09,41.28 \scriptsize $\pm$ 1.27,38.57 \scriptsize $\pm$ 0.23,43.20 \scriptsize $\pm$ 1.88,38.33 \scriptsize $\pm$ 0.73,40.98 \scriptsize $\pm$ 0.61,least_family_en_5,americasnli,"[42, 66, 17, 23]","[40.44115589177282, 41.124877179253076, 40.590596640725764, 41.778780922568586]",0.017855591537227582,0.4302710661119656,0.04310705049990059
40.27 \scriptsize $\pm$ 1.13,40.70 \scriptsize $\pm$ 0.55,41.50 \scriptsize $\pm$ 0.38,41.50 \scriptsize $\pm$ 1.65,38.73 \scriptsize $\pm$ 1.70,45.80 \scriptsize $\pm$ 1.61,42.21 \scriptsize $\pm$ 1.69,39.50 \scriptsize $\pm$ 1.87,42.53 \scriptsize $\pm$ 0.19,38.57 \scriptsize $\pm$ 1.35,41.13 \scriptsize $\pm$ 0.73,least_same_script_10,americasnli,"[42, 66, 17, 23]","[40.48194890077242, 41.47210845905251, 40.575787139689574, 41.99496543628537]",0.02456278173776713,0.5891815194064299,0.06914906842443301
