eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
46.59 \scriptsize $\pm$ 1.23,61.31 \scriptsize $\pm$ 0.80,45.32 \scriptsize $\pm$ 2.09,63.62 \scriptsize $\pm$ 1.47,38.31 \scriptsize $\pm$ 1.12,59.95 \scriptsize $\pm$ 0.91,27.93 \scriptsize $\pm$ 1.87,36.49 \scriptsize $\pm$ 2.05,57.48 \scriptsize $\pm$ 3.58,46.57 \scriptsize $\pm$ 0.75,52.07 \scriptsize $\pm$ 2.94,75.05 \scriptsize $\pm$ 0.38,50.89 \scriptsize $\pm$ 0.81,abla_random_seen_mbert,xquad,"[42, 66, 17, 23]","[50.88573458678058, 52.02745025212485, 50.474857370596794, 50.179708263108346]",0.9075286455513689,0.24898331857045636,0.010852967352680125
46.63 \scriptsize $\pm$ 1.28,60.31 \scriptsize $\pm$ 1.61,44.80 \scriptsize $\pm$ 2.31,64.30 \scriptsize $\pm$ 1.99,38.07 \scriptsize $\pm$ 0.56,59.46 \scriptsize $\pm$ 1.15,28.03 \scriptsize $\pm$ 2.58,37.56 \scriptsize $\pm$ 1.83,57.18 \scriptsize $\pm$ 0.95,46.78 \scriptsize $\pm$ 1.21,52.33 \scriptsize $\pm$ 1.37,75.16 \scriptsize $\pm$ 0.21,50.88 \scriptsize $\pm$ 0.45,abla_random_seen_xlmr,xquad,"[42, 66, 17, 23]","[50.340962813114096, 51.42756312304505, 50.98141849446777, 50.78296022675155]",0.9051374266834631,0.23496108280107172,0.00046275966584049345
45.63 \scriptsize $\pm$ 1.52,59.36 \scriptsize $\pm$ 1.39,44.45 \scriptsize $\pm$ 1.29,61.77 \scriptsize $\pm$ 1.60,38.67 \scriptsize $\pm$ 0.91,57.54 \scriptsize $\pm$ 0.64,28.60 \scriptsize $\pm$ 0.74,35.72 \scriptsize $\pm$ 0.30,54.98 \scriptsize $\pm$ 2.76,45.85 \scriptsize $\pm$ 1.54,48.82 \scriptsize $\pm$ 1.05,74.53 \scriptsize $\pm$ 0.48,49.66 \scriptsize $\pm$ 0.75,abla_random_unseen_mbert,xquad,"[42, 66, 17, 23]","[49.056346544668294, 50.43723571010852, 50.16832794431519, 48.979469141506826]",0.06902211715933736,0.0367379319351027,0.39099672533127555
45.36 \scriptsize $\pm$ 0.95,60.24 \scriptsize $\pm$ 1.40,43.86 \scriptsize $\pm$ 2.50,63.72 \scriptsize $\pm$ 1.06,38.61 \scriptsize $\pm$ 1.71,59.31 \scriptsize $\pm$ 0.23,27.15 \scriptsize $\pm$ 1.44,34.51 \scriptsize $\pm$ 1.06,56.39 \scriptsize $\pm$ 0.74,45.98 \scriptsize $\pm$ 1.59,48.29 \scriptsize $\pm$ 1.33,74.75 \scriptsize $\pm$ 0.19,49.85 \scriptsize $\pm$ 0.44,abla_random_unseen_xlmr,xquad,"[42, 66, 17, 23]","[49.38881897769743, 50.45004905369421, 49.79281208090299, 49.7560888062026]",0.06463999391313237,0.041378631607155145,0.0019218333673964568
45.91 \scriptsize $\pm$ 0.81,59.20 \scriptsize $\pm$ 1.06,44.47 \scriptsize $\pm$ 1.10,62.11 \scriptsize $\pm$ 1.33,37.63 \scriptsize $\pm$ 1.02,57.34 \scriptsize $\pm$ 0.23,27.77 \scriptsize $\pm$ 0.67,35.33 \scriptsize $\pm$ 1.33,56.16 \scriptsize $\pm$ 0.67,44.23 \scriptsize $\pm$ 1.25,48.24 \scriptsize $\pm$ 1.44,74.52 \scriptsize $\pm$ 0.37,49.41 \scriptsize $\pm$ 0.51,afri_only,xquad,"[42, 66, 17, 23]","[48.94080976910259, 50.128571936995606, 49.269341575273934, 49.294619176237994]",0.031309614930106276,0.026582065295929304,-1.0
51.11 \scriptsize $\pm$ 1.15,64.75 \scriptsize $\pm$ 1.22,52.16 \scriptsize $\pm$ 1.34,67.40 \scriptsize $\pm$ 0.25,45.20 \scriptsize $\pm$ 1.14,63.43 \scriptsize $\pm$ 0.36,32.53 \scriptsize $\pm$ 0.93,42.18 \scriptsize $\pm$ 1.25,60.23 \scriptsize $\pm$ 0.59,50.12 \scriptsize $\pm$ 0.27,56.02 \scriptsize $\pm$ 0.68,76.85 \scriptsize $\pm$ 0.34,55.16 \scriptsize $\pm$ 0.30,baseline,xquad,"[42, 66, 17, 23]","[55.591865582824916, 55.15469945854207, 54.996061870178416, 54.913748901013925]",2.4202463272974094e-05,0.0008872547083682657,0.00043276017436776754
48.77 \scriptsize $\pm$ 1.28,63.65 \scriptsize $\pm$ 0.85,47.08 \scriptsize $\pm$ 0.98,65.98 \scriptsize $\pm$ 0.98,40.51 \scriptsize $\pm$ 0.95,60.76 \scriptsize $\pm$ 0.89,28.57 \scriptsize $\pm$ 1.95,37.86 \scriptsize $\pm$ 1.62,57.57 \scriptsize $\pm$ 1.39,48.92 \scriptsize $\pm$ 1.46,53.10 \scriptsize $\pm$ 2.33,75.77 \scriptsize $\pm$ 0.67,52.38 \scriptsize $\pm$ 0.59,least_family_en_10,xquad,"[42, 66, 17, 23]","[52.60866021695124, 51.66061528488228, 53.03887772992544, 52.20577577313426]",0.007958796747883856,0.10089448290083462,0.010429205545443397
46.10 \scriptsize $\pm$ 0.97,61.93 \scriptsize $\pm$ 1.99,48.70 \scriptsize $\pm$ 1.34,65.58 \scriptsize $\pm$ 1.16,39.59 \scriptsize $\pm$ 1.09,60.07 \scriptsize $\pm$ 0.93,27.03 \scriptsize $\pm$ 1.66,36.75 \scriptsize $\pm$ 0.89,55.80 \scriptsize $\pm$ 1.21,46.27 \scriptsize $\pm$ 1.53,51.50 \scriptsize $\pm$ 1.57,75.25 \scriptsize $\pm$ 0.48,51.21 \scriptsize $\pm$ 0.72,least_family_en_20,xquad,"[42, 66, 17, 23]","[51.52851084523076, 50.538944066622776, 52.074770473858585, 50.711568425463476]",0.25797632832805883,0.18372107272279925,0.04760261568309091
47.80 \scriptsize $\pm$ 2.16,62.94 \scriptsize $\pm$ 1.41,44.85 \scriptsize $\pm$ 0.83,64.71 \scriptsize $\pm$ 0.70,40.30 \scriptsize $\pm$ 1.15,60.11 \scriptsize $\pm$ 0.82,28.19 \scriptsize $\pm$ 2.21,37.74 \scriptsize $\pm$ 1.03,56.76 \scriptsize $\pm$ 1.28,46.88 \scriptsize $\pm$ 0.49,52.23 \scriptsize $\pm$ 1.59,75.31 \scriptsize $\pm$ 0.40,51.49 \scriptsize $\pm$ 0.45,least_family_en_5,xquad,"[42, 66, 17, 23]","[51.605746664051914, 51.890254012752536, 50.83260164932701, 51.61341923821561]",0.13597760249793656,0.7186527428561822,0.0037773687322218163
49.02 \scriptsize $\pm$ 1.42,62.66 \scriptsize $\pm$ 1.00,46.30 \scriptsize $\pm$ 0.70,67.07 \scriptsize $\pm$ 0.74,41.90 \scriptsize $\pm$ 0.62,61.43 \scriptsize $\pm$ 0.82,29.04 \scriptsize $\pm$ 1.18,35.58 \scriptsize $\pm$ 1.11,57.62 \scriptsize $\pm$ 1.70,47.45 \scriptsize $\pm$ 1.28,51.28 \scriptsize $\pm$ 0.69,75.59 \scriptsize $\pm$ 0.15,52.08 \scriptsize $\pm$ 0.54,least_same_script_10,xquad,"[42, 66, 17, 23]","[52.646332091978955, 51.89745821533507, 51.41672783081412, 52.35560165924147]",0.024496766029298296,0.40221188733448526,0.008905527322624089
