final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
38.10 \scriptsize $\pm$ 0.87,41.53 \scriptsize $\pm$ 0.77,40.33 \scriptsize $\pm$ 1.48,39.87 \scriptsize $\pm$ 0.75,37.57 \scriptsize $\pm$ 0.82,42.01 \scriptsize $\pm$ 1.94,40.31 \scriptsize $\pm$ 1.20,38.70 \scriptsize $\pm$ 1.64,42.87 \scriptsize $\pm$ 1.30,39.33 \scriptsize $\pm$ 0.57,40.06 \scriptsize $\pm$ 0.84,abla_most_uriel_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[39.28697824732258, 41.21441212700897, 40.12032143529991, 39.623450864455165]",0.19639689596700916,0.8940221467347365,0.4962755876043087
37.27 \scriptsize $\pm$ 0.80,40.20 \scriptsize $\pm$ 0.54,40.07 \scriptsize $\pm$ 1.58,39.23 \scriptsize $\pm$ 0.73,37.40 \scriptsize $\pm$ 1.42,42.38 \scriptsize $\pm$ 1.53,43.15 \scriptsize $\pm$ 3.63,39.40 \scriptsize $\pm$ 0.73,42.20 \scriptsize $\pm$ 1.48,37.93 \scriptsize $\pm$ 0.90,39.92 \scriptsize $\pm$ 0.70,abla_random_joshi2,americasnli,"[42, 66, 17, 23]","[39.51985507876469, 40.322974073591006, 40.67871512832775, 39.16903352028173]",0.25470689657038403,0.5817013289512074,0.3169306227097862
37.27 \scriptsize $\pm$ 1.35,40.33 \scriptsize $\pm$ 1.03,41.43 \scriptsize $\pm$ 1.30,41.20 \scriptsize $\pm$ 1.03,39.20 \scriptsize $\pm$ 0.22,43.43 \scriptsize $\pm$ 1.97,38.70 \scriptsize $\pm$ 2.03,38.47 \scriptsize $\pm$ 0.88,43.50 \scriptsize $\pm$ 0.91,37.37 \scriptsize $\pm$ 1.54,40.09 \scriptsize $\pm$ 0.49,abla_random_joshi3,americasnli,"[42, 66, 17, 23]","[39.43689694650957, 40.60487428082837, 40.10620088981638, 40.21125168470935]",0.19150735764078025,0.8281829322584733,0.5390758146538667
37.90 \scriptsize $\pm$ 1.33,40.90 \scriptsize $\pm$ 0.35,41.17 \scriptsize $\pm$ 0.87,41.30 \scriptsize $\pm$ 1.83,38.20 \scriptsize $\pm$ 0.83,44.04 \scriptsize $\pm$ 1.73,40.04 \scriptsize $\pm$ 0.58,39.20 \scriptsize $\pm$ 0.98,43.93 \scriptsize $\pm$ 0.59,37.10 \scriptsize $\pm$ 0.55,40.38 \scriptsize $\pm$ 0.48,abla_random_joshi35,americasnli,"[42, 66, 17, 23]","[40.493479413938516, 39.9592788719331, 41.00531078358912, 40.05314986304943]",0.5865373923174385,0.2020297940327003,0.9378487061259206
37.20 \scriptsize $\pm$ 0.66,39.97 \scriptsize $\pm$ 0.79,40.77 \scriptsize $\pm$ 0.89,40.20 \scriptsize $\pm$ 0.82,37.33 \scriptsize $\pm$ 0.46,42.31 \scriptsize $\pm$ 1.43,39.67 \scriptsize $\pm$ 1.31,37.67 \scriptsize $\pm$ 1.59,43.07 \scriptsize $\pm$ 1.29,35.67 \scriptsize $\pm$ 0.52,39.38 \scriptsize $\pm$ 0.53,abla_random_joshi45,americasnli,"[42, 66, 17, 23]","[39.19689404808487, 39.34381316754344, 38.876935495558165, 40.12212715389186]",0.04383000751027487,0.32690813795174617,0.16106485976381613
36.07 \scriptsize $\pm$ 0.95,40.07 \scriptsize $\pm$ 1.14,39.60 \scriptsize $\pm$ 0.71,40.67 \scriptsize $\pm$ 0.52,37.80 \scriptsize $\pm$ 0.35,43.12 \scriptsize $\pm$ 0.95,39.07 \scriptsize $\pm$ 0.46,37.73 \scriptsize $\pm$ 0.84,42.80 \scriptsize $\pm$ 0.47,35.60 \scriptsize $\pm$ 1.14,39.25 \scriptsize $\pm$ 0.35,abla_random_seen_mbert,americasnli,"[42, 66, 17, 23]","[39.42395866846369, 39.027177948784825, 39.65330116081908, 38.906560294479945]",0.07000716546103003,0.027817889152208602,0.04644491911479563
36.77 \scriptsize $\pm$ 0.67,39.60 \scriptsize $\pm$ 1.22,39.40 \scriptsize $\pm$ 1.76,39.70 \scriptsize $\pm$ 2.05,36.13 \scriptsize $\pm$ 0.83,42.24 \scriptsize $\pm$ 1.72,44.25 \scriptsize $\pm$ 5.50,37.53 \scriptsize $\pm$ 1.52,43.43 \scriptsize $\pm$ 0.66,36.73 \scriptsize $\pm$ 1.76,39.58 \scriptsize $\pm$ 0.99,abla_random_seen_xlmr,americasnli,"[42, 66, 17, 23]","[40.27877106792458, 39.22623740996769, 38.34164804428793, 40.47089720736779]",0.10103555851901827,0.6076460242283778,0.2878635453133768
37.77 \scriptsize $\pm$ 1.00,41.37 \scriptsize $\pm$ 1.57,40.67 \scriptsize $\pm$ 1.46,39.70 \scriptsize $\pm$ 0.76,38.20 \scriptsize $\pm$ 0.46,42.75 \scriptsize $\pm$ 0.45,43.42 \scriptsize $\pm$ 3.14,39.93 \scriptsize $\pm$ 1.58,43.27 \scriptsize $\pm$ 0.87,37.47 \scriptsize $\pm$ 1.07,40.45 \scriptsize $\pm$ 0.92,abla_random_unseen_mbert,americasnli,"[42, 66, 17, 23]","[40.225292233671, 41.721711809631465, 39.532787559961164, 40.33345622654087]",0.10533982648812955,0.4759993066017824,0.9341625087961883
38.13 \scriptsize $\pm$ 1.50,40.00 \scriptsize $\pm$ 1.45,40.77 \scriptsize $\pm$ 1.22,40.57 \scriptsize $\pm$ 1.35,37.70 \scriptsize $\pm$ 1.38,43.02 \scriptsize $\pm$ 1.72,40.07 \scriptsize $\pm$ 0.58,39.97 \scriptsize $\pm$ 1.29,43.57 \scriptsize $\pm$ 0.83,38.93 \scriptsize $\pm$ 0.90,40.27 \scriptsize $\pm$ 0.80,abla_random_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[40.90702665101517, 40.97640479399446, 39.87761285741199, 39.33037288233845]",0.267453747407836,0.5136592070432724,0.11241235671957593
38.17 \scriptsize $\pm$ 0.95,42.17 \scriptsize $\pm$ 0.95,40.10 \scriptsize $\pm$ 1.01,40.07 \scriptsize $\pm$ 1.48,37.30 \scriptsize $\pm$ 1.05,41.43 \scriptsize $\pm$ 1.56,43.58 \scriptsize $\pm$ 1.59,39.40 \scriptsize $\pm$ 0.79,43.30 \scriptsize $\pm$ 1.05,38.63 \scriptsize $\pm$ 1.37,40.41 \scriptsize $\pm$ 0.71,afri_only,americasnli,"[42, 66, 17, 23]","[41.00099589872904, 40.971543556077265, 40.17123139573641, 39.51453328116168]",0.43087506626202876,0.27213112052796734,-1.0
