final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_et_accuracy,final_eval_eu_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_id_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_kk_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_mr_accuracy,final_eval_nl_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_ta_accuracy,final_eval_te_accuracy,final_eval_th_accuracy,final_eval_tl_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
88.31 \scriptsize $\pm$ 0.35,77.35 \scriptsize $\pm$ 0.51,89.89 \scriptsize $\pm$ 0.28,88.54 \scriptsize $\pm$ 0.17,87.96 \scriptsize $\pm$ 1.02,89.55 \scriptsize $\pm$ 0.13,88.77 \scriptsize $\pm$ 0.42,75.78 \scriptsize $\pm$ 0.60,76.10 \scriptsize $\pm$ 0.45,87.10 \scriptsize $\pm$ 0.38,86.73 \scriptsize $\pm$ 0.24,83.67 \scriptsize $\pm$ 0.85,73.15 \scriptsize $\pm$ 3.46,85.99 \scriptsize $\pm$ 0.23,86.42 \scriptsize $\pm$ 0.36,90.60 \scriptsize $\pm$ 0.34,54.24 \scriptsize $\pm$ 2.77,81.17 \scriptsize $\pm$ 0.43,64.68 \scriptsize $\pm$ 0.41,86.47 \scriptsize $\pm$ 0.16,83.90 \scriptsize $\pm$ 1.19,90.10 \scriptsize $\pm$ 0.14,85.62 \scriptsize $\pm$ 0.51,90.86 \scriptsize $\pm$ 0.08,84.97 \scriptsize $\pm$ 0.31,90.54 \scriptsize $\pm$ 0.13,77.37 \scriptsize $\pm$ 0.11,85.75 \scriptsize $\pm$ 0.63,68.33 \scriptsize $\pm$ 0.12,70.73 \scriptsize $\pm$ 0.42,77.31 \scriptsize $\pm$ 0.27,87.26 \scriptsize $\pm$ 0.07,68.65 \scriptsize $\pm$ 4.20,65.46 \scriptsize $\pm$ 0.23,74.27 \scriptsize $\pm$ 1.49,42.06 \scriptsize $\pm$ 1.24,51.07 \scriptsize $\pm$ 1.91,31.71 \scriptsize $\pm$ 0.89,49.57 \scriptsize $\pm$ 0.31,38.36 \scriptsize $\pm$ 1.42,40.53 \scriptsize $\pm$ 0.72,40.37 \scriptsize $\pm$ 1.98,39.09 \scriptsize $\pm$ 1.72,49.67 \scriptsize $\pm$ 1.16,41.82 \scriptsize $\pm$ 0.84,43.97 \scriptsize $\pm$ 1.38,58.17 \scriptsize $\pm$ 0.58,35.40 \scriptsize $\pm$ 1.07,33.93 \scriptsize $\pm$ 0.39,45.35 \scriptsize $\pm$ 0.82,43.55 \scriptsize $\pm$ 0.85,37.57 \scriptsize $\pm$ 0.86,43.80 \scriptsize $\pm$ 1.02,96.06 \scriptsize $\pm$ 0.05,68.62 \scriptsize $\pm$ 0.22,abla_most_uriel_unseen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[68.44303280911424, 68.42464773245294, 68.74494575765087, 68.87734128176315]",0.028230227447931692,0.00873385840237929,0.004098682954759441
88.44 \scriptsize $\pm$ 0.37,76.55 \scriptsize $\pm$ 0.94,89.70 \scriptsize $\pm$ 0.29,88.23 \scriptsize $\pm$ 0.26,87.91 \scriptsize $\pm$ 0.62,89.55 \scriptsize $\pm$ 0.36,88.24 \scriptsize $\pm$ 0.44,76.42 \scriptsize $\pm$ 0.88,75.57 \scriptsize $\pm$ 0.43,86.97 \scriptsize $\pm$ 0.14,86.60 \scriptsize $\pm$ 0.43,84.13 \scriptsize $\pm$ 0.78,71.67 \scriptsize $\pm$ 1.89,85.37 \scriptsize $\pm$ 0.50,86.14 \scriptsize $\pm$ 0.14,90.57 \scriptsize $\pm$ 0.59,54.32 \scriptsize $\pm$ 0.88,82.17 \scriptsize $\pm$ 0.18,64.85 \scriptsize $\pm$ 0.60,86.49 \scriptsize $\pm$ 0.30,83.97 \scriptsize $\pm$ 0.74,90.15 \scriptsize $\pm$ 0.17,85.24 \scriptsize $\pm$ 0.51,90.80 \scriptsize $\pm$ 0.15,84.68 \scriptsize $\pm$ 0.30,90.39 \scriptsize $\pm$ 0.15,77.90 \scriptsize $\pm$ 0.25,85.96 \scriptsize $\pm$ 0.54,68.50 \scriptsize $\pm$ 0.26,71.37 \scriptsize $\pm$ 0.61,77.67 \scriptsize $\pm$ 0.34,87.26 \scriptsize $\pm$ 0.44,67.79 \scriptsize $\pm$ 2.32,65.63 \scriptsize $\pm$ 0.25,74.20 \scriptsize $\pm$ 1.01,39.59 \scriptsize $\pm$ 4.54,48.43 \scriptsize $\pm$ 6.77,30.54 \scriptsize $\pm$ 3.91,49.82 \scriptsize $\pm$ 0.30,44.17 \scriptsize $\pm$ 9.34,46.83 \scriptsize $\pm$ 4.53,50.42 \scriptsize $\pm$ 3.40,37.06 \scriptsize $\pm$ 3.59,43.35 \scriptsize $\pm$ 7.34,47.79 \scriptsize $\pm$ 2.32,44.67 \scriptsize $\pm$ 2.90,58.33 \scriptsize $\pm$ 0.81,37.21 \scriptsize $\pm$ 3.12,33.87 \scriptsize $\pm$ 2.61,42.21 \scriptsize $\pm$ 5.73,45.66 \scriptsize $\pm$ 2.90,33.42 \scriptsize $\pm$ 5.59,46.29 \scriptsize $\pm$ 3.77,96.09 \scriptsize $\pm$ 0.00,68.84 \scriptsize $\pm$ 0.68,abla_random_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[69.73082956434259, 68.4710205265227, 68.16386477119951, 68.97837593911098]",0.4356349186001005,0.050350827404786296,0.060390919020895245
89.27 \scriptsize $\pm$ 0.08,77.12 \scriptsize $\pm$ 0.37,90.10 \scriptsize $\pm$ 0.17,88.64 \scriptsize $\pm$ 0.16,89.20 \scriptsize $\pm$ 0.28,89.40 \scriptsize $\pm$ 0.28,88.79 \scriptsize $\pm$ 0.42,77.89 \scriptsize $\pm$ 1.24,75.88 \scriptsize $\pm$ 0.36,87.32 \scriptsize $\pm$ 0.42,86.90 \scriptsize $\pm$ 0.45,84.44 \scriptsize $\pm$ 0.51,72.75 \scriptsize $\pm$ 1.88,85.54 \scriptsize $\pm$ 0.45,86.22 \scriptsize $\pm$ 0.39,90.89 \scriptsize $\pm$ 0.52,54.49 \scriptsize $\pm$ 0.81,83.24 \scriptsize $\pm$ 0.94,64.76 \scriptsize $\pm$ 0.53,87.10 \scriptsize $\pm$ 0.16,85.66 \scriptsize $\pm$ 1.53,90.19 \scriptsize $\pm$ 0.11,85.77 \scriptsize $\pm$ 0.34,90.73 \scriptsize $\pm$ 0.34,86.08 \scriptsize $\pm$ 0.43,90.79 \scriptsize $\pm$ 0.22,77.98 \scriptsize $\pm$ 0.48,87.24 \scriptsize $\pm$ 0.90,68.45 \scriptsize $\pm$ 0.55,72.68 \scriptsize $\pm$ 0.85,78.93 \scriptsize $\pm$ 0.24,87.89 \scriptsize $\pm$ 0.06,67.57 \scriptsize $\pm$ 0.78,65.35 \scriptsize $\pm$ 0.09,74.85 \scriptsize $\pm$ 1.35,41.18 \scriptsize $\pm$ 4.15,38.72 \scriptsize $\pm$ 5.22,23.77 \scriptsize $\pm$ 6.14,50.79 \scriptsize $\pm$ 0.24,33.55 \scriptsize $\pm$ 2.09,37.49 \scriptsize $\pm$ 3.65,34.22 \scriptsize $\pm$ 3.05,32.02 \scriptsize $\pm$ 2.67,38.12 \scriptsize $\pm$ 2.59,33.74 \scriptsize $\pm$ 4.83,35.34 \scriptsize $\pm$ 3.42,59.29 \scriptsize $\pm$ 0.48,31.45 \scriptsize $\pm$ 2.52,27.23 \scriptsize $\pm$ 3.65,33.21 \scriptsize $\pm$ 3.24,44.25 \scriptsize $\pm$ 1.58,26.11 \scriptsize $\pm$ 5.11,44.13 \scriptsize $\pm$ 1.90,96.13 \scriptsize $\pm$ 0.03,67.05 \scriptsize $\pm$ 0.79,abla_random_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[67.69032550209666, 67.207696975809, 67.40931572613029, 65.90289619255111]",0.026218344570680188,0.6581680645643071,0.003119374515712991
88.97 \scriptsize $\pm$ 0.08,77.26 \scriptsize $\pm$ 1.18,89.78 \scriptsize $\pm$ 0.13,88.63 \scriptsize $\pm$ 0.21,88.86 \scriptsize $\pm$ 0.53,89.13 \scriptsize $\pm$ 0.25,88.90 \scriptsize $\pm$ 0.55,78.07 \scriptsize $\pm$ 1.04,75.54 \scriptsize $\pm$ 0.23,87.44 \scriptsize $\pm$ 0.42,86.74 \scriptsize $\pm$ 0.17,84.58 \scriptsize $\pm$ 0.57,71.35 \scriptsize $\pm$ 1.10,85.43 \scriptsize $\pm$ 0.19,86.43 \scriptsize $\pm$ 0.20,90.78 \scriptsize $\pm$ 0.22,53.65 \scriptsize $\pm$ 0.86,83.15 \scriptsize $\pm$ 0.24,64.58 \scriptsize $\pm$ 0.43,87.09 \scriptsize $\pm$ 0.11,85.37 \scriptsize $\pm$ 0.56,90.24 \scriptsize $\pm$ 0.06,85.59 \scriptsize $\pm$ 0.36,90.71 \scriptsize $\pm$ 0.27,85.70 \scriptsize $\pm$ 0.45,90.54 \scriptsize $\pm$ 0.11,78.35 \scriptsize $\pm$ 0.43,87.59 \scriptsize $\pm$ 0.58,68.75 \scriptsize $\pm$ 0.46,72.45 \scriptsize $\pm$ 1.34,79.13 \scriptsize $\pm$ 0.33,87.40 \scriptsize $\pm$ 0.62,66.77 \scriptsize $\pm$ 1.00,65.45 \scriptsize $\pm$ 0.24,74.65 \scriptsize $\pm$ 1.14,41.76 \scriptsize $\pm$ 3.70,40.13 \scriptsize $\pm$ 1.05,27.19 \scriptsize $\pm$ 2.35,50.92 \scriptsize $\pm$ 0.15,32.75 \scriptsize $\pm$ 3.14,38.65 \scriptsize $\pm$ 0.54,34.77 \scriptsize $\pm$ 1.77,31.41 \scriptsize $\pm$ 1.59,37.72 \scriptsize $\pm$ 2.42,35.81 \scriptsize $\pm$ 1.32,35.95 \scriptsize $\pm$ 1.71,59.05 \scriptsize $\pm$ 0.62,32.13 \scriptsize $\pm$ 1.30,28.99 \scriptsize $\pm$ 1.36,32.59 \scriptsize $\pm$ 2.52,44.24 \scriptsize $\pm$ 1.12,27.49 \scriptsize $\pm$ 2.69,44.20 \scriptsize $\pm$ 1.47,96.13 \scriptsize $\pm$ 0.05,67.16 \scriptsize $\pm$ 0.43,abla_random_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[67.11121935161847, 67.66473858094332, 66.62412856540368, 67.25857387478592]",0.0014978769449241166,0.7727945507103587,0.00178240709300174
89.24 \scriptsize $\pm$ 0.16,77.25 \scriptsize $\pm$ 0.48,89.95 \scriptsize $\pm$ 0.18,88.99 \scriptsize $\pm$ 0.20,89.31 \scriptsize $\pm$ 0.19,89.42 \scriptsize $\pm$ 0.14,88.76 \scriptsize $\pm$ 0.53,79.19 \scriptsize $\pm$ 1.27,75.38 \scriptsize $\pm$ 0.35,87.53 \scriptsize $\pm$ 0.37,87.11 \scriptsize $\pm$ 0.13,84.53 \scriptsize $\pm$ 0.42,70.52 \scriptsize $\pm$ 1.72,85.50 \scriptsize $\pm$ 0.41,86.42 \scriptsize $\pm$ 0.32,90.85 \scriptsize $\pm$ 0.25,53.64 \scriptsize $\pm$ 2.30,83.17 \scriptsize $\pm$ 0.72,64.69 \scriptsize $\pm$ 0.22,87.18 \scriptsize $\pm$ 0.20,84.49 \scriptsize $\pm$ 0.91,90.27 \scriptsize $\pm$ 0.16,85.79 \scriptsize $\pm$ 0.20,90.90 \scriptsize $\pm$ 0.13,85.95 \scriptsize $\pm$ 0.17,90.66 \scriptsize $\pm$ 0.16,78.39 \scriptsize $\pm$ 0.44,87.17 \scriptsize $\pm$ 0.42,68.57 \scriptsize $\pm$ 0.56,71.52 \scriptsize $\pm$ 0.69,79.25 \scriptsize $\pm$ 0.35,87.34 \scriptsize $\pm$ 0.66,66.15 \scriptsize $\pm$ 1.07,64.98 \scriptsize $\pm$ 0.47,74.48 \scriptsize $\pm$ 1.10,46.30 \scriptsize $\pm$ 3.04,41.29 \scriptsize $\pm$ 3.03,26.59 \scriptsize $\pm$ 4.00,51.45 \scriptsize $\pm$ 0.38,34.74 \scriptsize $\pm$ 5.08,39.60 \scriptsize $\pm$ 2.34,35.75 \scriptsize $\pm$ 1.48,31.67 \scriptsize $\pm$ 2.49,40.39 \scriptsize $\pm$ 2.10,36.81 \scriptsize $\pm$ 1.95,36.62 \scriptsize $\pm$ 1.41,59.06 \scriptsize $\pm$ 0.30,32.69 \scriptsize $\pm$ 1.81,30.44 \scriptsize $\pm$ 2.38,32.70 \scriptsize $\pm$ 1.80,44.83 \scriptsize $\pm$ 1.52,27.18 \scriptsize $\pm$ 2.54,44.78 \scriptsize $\pm$ 1.64,96.16 \scriptsize $\pm$ 0.04,67.47 \scriptsize $\pm$ 0.70,abla_random_joshi45,xtreme_r.udpos,"[42, 66, 17, 23]","[68.12389417092794, 66.64837580368894, 67.13510334884742, 67.98622978936267]",0.015261179529612845,0.6881548945920039,0.008076236418262156
89.12 \scriptsize $\pm$ 0.07,76.84 \scriptsize $\pm$ 0.88,89.42 \scriptsize $\pm$ 0.27,88.26 \scriptsize $\pm$ 0.45,88.60 \scriptsize $\pm$ 0.72,89.22 \scriptsize $\pm$ 0.37,88.36 \scriptsize $\pm$ 0.90,77.74 \scriptsize $\pm$ 0.31,75.37 \scriptsize $\pm$ 0.39,87.07 \scriptsize $\pm$ 0.61,86.82 \scriptsize $\pm$ 0.27,83.72 \scriptsize $\pm$ 1.28,73.19 \scriptsize $\pm$ 3.65,85.09 \scriptsize $\pm$ 0.64,86.61 \scriptsize $\pm$ 0.25,90.80 \scriptsize $\pm$ 0.57,54.91 \scriptsize $\pm$ 1.91,82.69 \scriptsize $\pm$ 0.28,64.88 \scriptsize $\pm$ 0.53,86.60 \scriptsize $\pm$ 0.39,84.41 \scriptsize $\pm$ 1.20,90.40 \scriptsize $\pm$ 0.20,85.13 \scriptsize $\pm$ 0.66,90.71 \scriptsize $\pm$ 0.30,85.76 \scriptsize $\pm$ 0.25,90.40 \scriptsize $\pm$ 0.36,78.33 \scriptsize $\pm$ 0.40,87.69 \scriptsize $\pm$ 0.40,68.46 \scriptsize $\pm$ 0.68,72.01 \scriptsize $\pm$ 0.92,78.82 \scriptsize $\pm$ 0.32,87.16 \scriptsize $\pm$ 0.61,68.72 \scriptsize $\pm$ 3.15,65.45 \scriptsize $\pm$ 0.34,74.42 \scriptsize $\pm$ 0.99,42.06 \scriptsize $\pm$ 2.07,39.59 \scriptsize $\pm$ 2.45,27.39 \scriptsize $\pm$ 5.34,50.61 \scriptsize $\pm$ 0.15,34.69 \scriptsize $\pm$ 6.92,38.73 \scriptsize $\pm$ 4.38,37.12 \scriptsize $\pm$ 4.23,33.32 \scriptsize $\pm$ 4.07,38.86 \scriptsize $\pm$ 3.02,37.39 \scriptsize $\pm$ 3.03,37.76 \scriptsize $\pm$ 3.28,59.21 \scriptsize $\pm$ 0.16,31.57 \scriptsize $\pm$ 1.65,29.39 \scriptsize $\pm$ 3.01,34.14 \scriptsize $\pm$ 3.01,43.84 \scriptsize $\pm$ 1.49,29.58 \scriptsize $\pm$ 8.65,44.35 \scriptsize $\pm$ 1.19,96.14 \scriptsize $\pm$ 0.03,67.39 \scriptsize $\pm$ 0.90,abla_random_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.72237398227944, 66.79318051894585, 67.15009092371098, 66.88206678423741]",0.04145571541691798,0.9083872206274651,0.009842769751591837
89.04 \scriptsize $\pm$ 0.15,76.34 \scriptsize $\pm$ 1.16,89.63 \scriptsize $\pm$ 0.32,88.47 \scriptsize $\pm$ 0.42,88.73 \scriptsize $\pm$ 0.53,89.28 \scriptsize $\pm$ 0.43,88.27 \scriptsize $\pm$ 1.14,78.07 \scriptsize $\pm$ 0.53,75.29 \scriptsize $\pm$ 0.38,87.08 \scriptsize $\pm$ 0.77,86.84 \scriptsize $\pm$ 0.44,83.30 \scriptsize $\pm$ 0.58,72.88 \scriptsize $\pm$ 1.51,84.95 \scriptsize $\pm$ 0.70,86.25 \scriptsize $\pm$ 0.15,90.77 \scriptsize $\pm$ 0.20,53.74 \scriptsize $\pm$ 0.40,83.29 \scriptsize $\pm$ 0.72,64.65 \scriptsize $\pm$ 0.56,86.75 \scriptsize $\pm$ 0.55,84.63 \scriptsize $\pm$ 1.11,90.19 \scriptsize $\pm$ 0.15,85.26 \scriptsize $\pm$ 0.63,90.58 \scriptsize $\pm$ 0.32,85.71 \scriptsize $\pm$ 0.52,90.20 \scriptsize $\pm$ 0.25,78.79 \scriptsize $\pm$ 0.87,87.55 \scriptsize $\pm$ 0.68,68.26 \scriptsize $\pm$ 0.67,72.28 \scriptsize $\pm$ 0.71,78.87 \scriptsize $\pm$ 0.47,86.96 \scriptsize $\pm$ 0.91,67.72 \scriptsize $\pm$ 0.83,65.21 \scriptsize $\pm$ 0.44,73.74 \scriptsize $\pm$ 0.55,40.16 \scriptsize $\pm$ 1.37,38.97 \scriptsize $\pm$ 1.64,26.41 \scriptsize $\pm$ 0.97,50.76 \scriptsize $\pm$ 0.62,32.35 \scriptsize $\pm$ 2.01,40.68 \scriptsize $\pm$ 4.65,36.16 \scriptsize $\pm$ 3.37,32.63 \scriptsize $\pm$ 3.31,38.97 \scriptsize $\pm$ 1.84,35.70 \scriptsize $\pm$ 1.49,36.62 \scriptsize $\pm$ 3.48,59.17 \scriptsize $\pm$ 0.77,31.89 \scriptsize $\pm$ 3.14,27.84 \scriptsize $\pm$ 2.30,32.72 \scriptsize $\pm$ 0.72,44.73 \scriptsize $\pm$ 2.55,27.07 \scriptsize $\pm$ 2.11,44.95 \scriptsize $\pm$ 3.32,96.14 \scriptsize $\pm$ 0.06,67.10 \scriptsize $\pm$ 0.44,abla_random_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[67.5954110373688, 66.584968672434, 66.91453325263423, 67.3128544336241]",0.0031904841502477708,0.5061699949336491,0.0015240834720031211
88.46 \scriptsize $\pm$ 0.18,76.83 \scriptsize $\pm$ 0.83,89.85 \scriptsize $\pm$ 0.19,88.46 \scriptsize $\pm$ 0.34,88.23 \scriptsize $\pm$ 0.29,89.47 \scriptsize $\pm$ 0.49,88.60 \scriptsize $\pm$ 0.24,76.07 \scriptsize $\pm$ 0.30,76.05 \scriptsize $\pm$ 0.58,87.20 \scriptsize $\pm$ 0.26,86.42 \scriptsize $\pm$ 0.48,84.44 \scriptsize $\pm$ 0.70,73.57 \scriptsize $\pm$ 3.54,85.69 \scriptsize $\pm$ 0.42,85.96 \scriptsize $\pm$ 0.31,90.36 \scriptsize $\pm$ 0.54,56.27 \scriptsize $\pm$ 1.76,82.04 \scriptsize $\pm$ 0.55,64.76 \scriptsize $\pm$ 0.39,86.71 \scriptsize $\pm$ 0.16,84.78 \scriptsize $\pm$ 1.77,90.08 \scriptsize $\pm$ 0.25,85.53 \scriptsize $\pm$ 0.45,90.78 \scriptsize $\pm$ 0.34,84.73 \scriptsize $\pm$ 0.52,90.44 \scriptsize $\pm$ 0.37,77.60 \scriptsize $\pm$ 0.47,86.03 \scriptsize $\pm$ 0.57,68.17 \scriptsize $\pm$ 0.32,70.64 \scriptsize $\pm$ 0.41,77.77 \scriptsize $\pm$ 0.24,87.31 \scriptsize $\pm$ 0.44,69.23 \scriptsize $\pm$ 3.56,65.78 \scriptsize $\pm$ 0.20,73.50 \scriptsize $\pm$ 0.50,51.05 \scriptsize $\pm$ 1.22,51.13 \scriptsize $\pm$ 5.64,35.95 \scriptsize $\pm$ 1.43,51.00 \scriptsize $\pm$ 0.33,35.73 \scriptsize $\pm$ 1.40,45.68 \scriptsize $\pm$ 3.68,46.78 \scriptsize $\pm$ 5.32,38.49 \scriptsize $\pm$ 3.05,45.22 \scriptsize $\pm$ 5.29,43.79 \scriptsize $\pm$ 3.35,43.83 \scriptsize $\pm$ 2.94,58.77 \scriptsize $\pm$ 0.66,39.39 \scriptsize $\pm$ 3.34,34.12 \scriptsize $\pm$ 2.45,42.70 \scriptsize $\pm$ 6.52,44.82 \scriptsize $\pm$ 1.64,29.47 \scriptsize $\pm$ 3.08,44.67 \scriptsize $\pm$ 2.62,96.11 \scriptsize $\pm$ 0.04,69.01 \scriptsize $\pm$ 0.23,abla_random_unseen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.76071809436333, 68.95096597924531, 69.30687181798251, 69.01952542639985]",0.5504121473372632,0.005969468651155074,0.004643235450289793
88.07 \scriptsize $\pm$ 0.38,77.12 \scriptsize $\pm$ 1.42,89.76 \scriptsize $\pm$ 0.44,88.50 \scriptsize $\pm$ 0.21,87.95 \scriptsize $\pm$ 1.28,89.54 \scriptsize $\pm$ 0.27,88.31 \scriptsize $\pm$ 0.35,74.83 \scriptsize $\pm$ 1.51,76.44 \scriptsize $\pm$ 0.63,86.63 \scriptsize $\pm$ 0.41,86.38 \scriptsize $\pm$ 0.37,84.08 \scriptsize $\pm$ 0.38,72.67 \scriptsize $\pm$ 2.88,85.41 \scriptsize $\pm$ 0.31,86.11 \scriptsize $\pm$ 0.18,90.22 \scriptsize $\pm$ 0.34,53.51 \scriptsize $\pm$ 2.28,81.04 \scriptsize $\pm$ 0.21,64.67 \scriptsize $\pm$ 0.39,86.30 \scriptsize $\pm$ 0.26,82.79 \scriptsize $\pm$ 2.13,90.02 \scriptsize $\pm$ 0.10,85.43 \scriptsize $\pm$ 0.69,90.82 \scriptsize $\pm$ 0.28,84.70 \scriptsize $\pm$ 0.53,90.51 \scriptsize $\pm$ 0.20,76.90 \scriptsize $\pm$ 0.27,85.51 \scriptsize $\pm$ 0.80,68.19 \scriptsize $\pm$ 0.67,70.07 \scriptsize $\pm$ 0.86,77.08 \scriptsize $\pm$ 0.54,87.17 \scriptsize $\pm$ 0.35,68.58 \scriptsize $\pm$ 3.39,65.52 \scriptsize $\pm$ 0.49,74.80 \scriptsize $\pm$ 0.26,48.73 \scriptsize $\pm$ 3.90,52.28 \scriptsize $\pm$ 2.05,33.56 \scriptsize $\pm$ 1.46,49.80 \scriptsize $\pm$ 0.19,41.30 \scriptsize $\pm$ 5.34,45.59 \scriptsize $\pm$ 4.27,48.90 \scriptsize $\pm$ 3.27,39.87 \scriptsize $\pm$ 2.82,48.05 \scriptsize $\pm$ 4.14,45.08 \scriptsize $\pm$ 3.39,45.66 \scriptsize $\pm$ 1.86,58.23 \scriptsize $\pm$ 0.72,38.74 \scriptsize $\pm$ 0.90,34.38 \scriptsize $\pm$ 1.87,41.70 \scriptsize $\pm$ 5.27,45.32 \scriptsize $\pm$ 1.84,36.95 \scriptsize $\pm$ 3.72,45.23 \scriptsize $\pm$ 2.21,96.05 \scriptsize $\pm$ 0.06,69.09 \scriptsize $\pm$ 0.14,abla_random_unseen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[68.91926667110563, 69.05496353606459, 69.25189861451783, 69.1482900836474]",0.7866543989721486,0.006107030109382217,0.003987247938600683
88.54 \scriptsize $\pm$ 0.33,77.20 \scriptsize $\pm$ 0.61,89.61 \scriptsize $\pm$ 0.32,88.45 \scriptsize $\pm$ 0.55,87.88 \scriptsize $\pm$ 0.58,89.75 \scriptsize $\pm$ 0.14,88.28 \scriptsize $\pm$ 0.47,75.80 \scriptsize $\pm$ 0.55,76.38 \scriptsize $\pm$ 0.20,87.08 \scriptsize $\pm$ 0.23,86.82 \scriptsize $\pm$ 0.45,84.50 \scriptsize $\pm$ 0.37,72.96 \scriptsize $\pm$ 3.60,85.59 \scriptsize $\pm$ 0.16,86.12 \scriptsize $\pm$ 0.22,90.52 \scriptsize $\pm$ 0.12,55.50 \scriptsize $\pm$ 1.91,81.84 \scriptsize $\pm$ 0.31,64.71 \scriptsize $\pm$ 0.29,86.42 \scriptsize $\pm$ 0.12,84.04 \scriptsize $\pm$ 0.61,90.07 \scriptsize $\pm$ 0.11,85.40 \scriptsize $\pm$ 0.60,91.02 \scriptsize $\pm$ 0.12,85.16 \scriptsize $\pm$ 0.28,90.44 \scriptsize $\pm$ 0.25,77.78 \scriptsize $\pm$ 0.25,86.44 \scriptsize $\pm$ 0.97,68.78 \scriptsize $\pm$ 0.21,71.45 \scriptsize $\pm$ 0.37,77.65 \scriptsize $\pm$ 0.19,87.21 \scriptsize $\pm$ 0.41,68.67 \scriptsize $\pm$ 3.83,65.68 \scriptsize $\pm$ 0.18,74.66 \scriptsize $\pm$ 0.67,47.67 \scriptsize $\pm$ 1.06,52.41 \scriptsize $\pm$ 0.53,34.33 \scriptsize $\pm$ 0.81,50.64 \scriptsize $\pm$ 0.24,47.13 \scriptsize $\pm$ 1.56,51.35 \scriptsize $\pm$ 1.28,53.89 \scriptsize $\pm$ 1.30,40.79 \scriptsize $\pm$ 0.94,47.95 \scriptsize $\pm$ 1.12,49.27 \scriptsize $\pm$ 1.25,48.43 \scriptsize $\pm$ 1.43,58.99 \scriptsize $\pm$ 0.66,38.80 \scriptsize $\pm$ 0.93,36.54 \scriptsize $\pm$ 0.60,43.48 \scriptsize $\pm$ 0.90,45.83 \scriptsize $\pm$ 0.71,37.60 \scriptsize $\pm$ 1.65,46.26 \scriptsize $\pm$ 1.28,96.08 \scriptsize $\pm$ 0.04,69.92 \scriptsize $\pm$ 0.15,afri_only,xtreme_r.udpos,"[42, 66, 17, 23]","[69.97837544948972, 69.93611115901355, 70.06521453701117, 69.71084443935098]",0.028070661153496,0.003315238195570165,-1.0
